"time","state.hour","state.value"
"2022-01-23T05:52:03.092+03:00",,"0"
"2022-01-23T06:52:04.222+03:00",,"0"
"2022-01-23T07:52:06.051+03:00",,"0"
"2022-01-23T08:52:07.484+03:00",,"0"
"2022-01-23T10:52:11.508+03:00",,"0"
"2022-01-23T11:38:48.786+03:00",,"1"
"2022-01-23T11:38:54.434+03:00",,"0"
"2022-01-23T11:52:11.659+03:00",,"0"
"2022-01-23T12:52:13.904+03:00",,"0"
"2022-01-23T12:56:28.132+03:00",,"1"
"2022-01-23T12:56:40.863+03:00",,"0"
"2022-01-23T13:05:09.144+03:00",,"1"
"2022-01-23T13:06:51.742+03:00",,"0"
"2022-01-23T13:08:40.452+03:00",,"1"
"2022-01-23T13:08:47.283+03:00",,"0"
"2022-01-23T13:18:22.565+03:00",,"1"
"2022-01-23T13:18:28.387+03:00",,"0"
"2022-01-23T13:25:22.192+03:00",,"1"
"2022-01-23T13:25:23.639+03:00",,"0"
"2022-01-23T13:52:15.538+03:00",,"0"
"2022-01-23T14:05:19.194+03:00",,"1"
"2022-01-23T14:05:23.552+03:00",,"0"
"2022-01-23T14:13:58.186+03:00",,"1"
"2022-01-23T14:14:25.044+03:00",,"0"
"2022-01-23T14:15:22.429+03:00",,"1"
"2022-01-23T14:15:27.016+03:00",,"0"
"2022-01-23T14:52:18.828+03:00",,"0"
"2022-01-23T15:11:23.566+03:00",,"1"
"2022-01-23T15:11:28.259+03:00",,"0"
"2022-01-23T15:17:19.234+03:00",,"1"
"2022-01-23T15:18:38.769+03:00",,"1"
"2022-01-23T15:19:15.916+03:00",,"0"
"2022-01-23T15:52:18.495+03:00",,"0"
"2022-01-23T15:52:32.301+03:00",,"1"
"2022-01-23T15:53:03.909+03:00",,"0"
"2022-01-23T16:01:30.666+03:00",,"1"
"2022-01-23T16:01:36.099+03:00",,"0"
"2022-01-23T16:12:29.510+03:00",,"1"
"2022-01-23T16:12:30.173+03:00",,"0"
"2022-01-23T16:14:27.325+03:00",,"1"
"2022-01-23T16:15:59.129+03:00",,"0"
"2022-01-23T16:24:18.528+03:00",,"1"
"2022-01-23T16:24:21.718+03:00",,"0"
"2022-01-23T16:52:20.461+03:00",,"0"
"2022-01-23T17:27:33.683+03:00",,"1"
"2022-01-23T17:27:36.986+03:00",,"0"
"2022-01-23T17:39:24.447+03:00",,"1"
"2022-01-23T17:39:25.732+03:00",,"0"
"2022-01-23T17:40:00.007+03:00",,"1"
"2022-01-23T17:40:56.171+03:00",,"0"
"2022-01-23T17:41:34.569+03:00",,"1"
"2022-01-23T17:41:38.927+03:00",,"0"
"2022-01-23T17:43:05.898+03:00",,"1"
"2022-01-23T17:43:12.259+03:00",,"0"
"2022-01-23T17:52:21.632+03:00",,"0"
"2022-01-23T18:00:39.955+03:00",,"1"
"2022-01-23T18:00:44.372+03:00",,"0"
"2022-01-23T18:03:11.720+03:00",,"1"
"2022-01-23T18:03:18.535+03:00",,"0"
"2022-01-23T18:23:39.974+03:00",,"1"
"2022-01-23T18:23:42.553+03:00",,"0"
"2022-01-23T19:37:34.237+03:00",,"1"
"2022-01-23T19:38:39.451+03:00",,"0"
"2022-01-23T19:52:25.303+03:00",,"0"
"2022-01-23T20:40:00.470+03:00",,"1"
"2022-01-23T20:40:32.603+03:00",,"0"
"2022-01-23T20:52:33.186+03:00",,"0"
"2022-01-23T20:52:43.985+03:00",,"1"
"2022-01-23T20:52:50.468+03:00",,"0"
"2022-01-23T21:16:00.246+03:00",,"1"
"2022-01-23T21:21:21.369+03:00",,"1"
"2022-01-23T21:21:26.588+03:00",,"0"
"2022-01-23T21:39:16.341+03:00",,"1"
"2022-01-23T21:39:56.794+03:00",,"0"
"2022-01-23T21:52:27.972+03:00",,"0"
"2022-01-23T22:32:26.515+03:00",,"0"
"2022-01-23T22:52:29.780+03:00",,"0"
"2022-01-23T23:07:34.924+03:00",,"1"
"2022-01-23T23:08:02.670+03:00",,"0"
"2022-01-23T23:52:32.338+03:00",,"0"
"2022-01-24T00:52:33.375+03:00",,"0"
"2022-01-24T01:52:34.490+03:00",,"0"
"2022-01-24T02:52:36.559+03:00",,"0"
"2022-01-24T03:52:37.896+03:00",,"0"
"2022-01-24T04:52:40.125+03:00",,"0"
"2022-01-24T05:52:41.410+03:00",,"0"
"2022-01-24T07:18:38.987+03:00",,"1"
"2022-01-24T07:19:00.283+03:00",,"0"
"2022-01-24T07:52:44.088+03:00",,"0"
"2022-01-24T08:52:45.657+03:00",,"0"
"2022-01-24T09:21:42.678+03:00",,"1"
"2022-01-24T09:21:46.219+03:00",,"0"
"2022-01-24T09:32:03.697+03:00",,"1"
"2022-01-24T09:32:04.386+03:00",,"0"
"2022-01-24T09:52:46.979+03:00",,"0"
"2022-01-24T10:52:48.064+03:00",,"0"
"2022-01-24T12:43:49.890+03:00",,"1"
"2022-01-24T12:43:56.226+03:00",,"0"
"2022-01-24T12:44:51.404+03:00",,"1"
"2022-01-24T12:44:58.250+03:00",,"0"
"2022-01-24T12:52:51.287+03:00",,"0"
"2022-01-24T13:13:26.152+03:00",,"1"
"2022-01-24T13:13:33.652+03:00",,"0"
"2022-01-24T13:28:37.513+03:00",,"1"
"2022-01-24T13:31:59.620+03:00",,"1"
"2022-01-24T13:32:18.760+03:00",,"0"
"2022-01-24T13:34:57.220+03:00",,"1"
"2022-01-24T13:35:01.701+03:00",,"0"
"2022-01-24T13:36:23.918+03:00",,"1"
"2022-01-24T13:36:29.682+03:00",,"0"
"2022-01-24T13:36:42.286+03:00",,"1"
